>[    3.674607] random 0033 0000 0000 cadf44cd e6e5b548: add_timer_randomness(.. 8388864) with jiffies: 6934907023666372252, cycles: 6934907019371488160
[    6.105113] random 0150 0000 0000 9009da3a b8b56659: extract_entropy(.. 8 ..)
[    6.105115] random 0150 0000 0000 9009da3a b8b56659: trying to extract 64 bits from input
[    6.105117] random 0150 0000 0000 9009da3a b8b56659: debiting 0 entropy credits from input
[    6.105119] random 0150 0000 0000 9009da3a b8b56659: extract_entropy account returned: 0 
[    6.105122] random 0150 0000 0000 9009da3a b8b56659: urand_change_num 3962 xfer_secondary_pool(1): pool_sig fffff9f5, data_sig 00000000, bytes_mixed 0 9009da3a b8b56659
[    6.105125] random 0150 0000 0000 9009da3a b8b56659: trying to extract 8 bits from nonblocking
[    6.105127] random 0150 0000 0000 9009da3a b8b56659: debiting 8 entropy credits from nonblocking (unlimited)
[    6.105129] random 0150 0000 0000 9009da3a b8b56659:   got 1 bytes
[    6.105132] random 0150 0000 0000 9009da3a b8b56659: urand_change_num 3963 extract_buf: pool_sig fffff9f5, data_sig fffffe9a, bytes_mixed 20 9009da3a b8b56659
[    6.105138] random 0150 0000 0000 ad1601f1 07e903ce: rand_read_num 976 urandom_read(1): sig fffffce8 ad1601f1 07e903ce pid=1066 comm=dd
[    6.105141] random 0150 0000 0000 ad1601f1 07e903ce: extract_entropy_user(1)
[    6.105143] random 0150 0000 0000 ad1601f1 07e903ce: going to reseed nonblocking with 64 bits (8 of 0 requested)
[    6.105145] random 0150 0000 0000 ad1601f1 07e903ce: extract_entropy(.. 8 ..)
[    6.105147] random 0150 0000 0000 ad1601f1 07e903ce: trying to extract 64 bits from input
[    6.105149] random 0150 0000 0000 ad1601f1 07e903ce: debiting 0 entropy credits from input
[    6.105151] random 0150 0000 0000 ad1601f1 07e903ce: extract_entropy account returned: 0 
[    6.105154] random 0150 0000 0000 ad1601f1 07e903ce: urand_change_num 3964 xfer_secondary_pool(1): pool_sig fffffce8, data_sig 00000000, bytes_mixed 0 ad1601f1 07e903ce
[    6.105157] random 0150 0000 0000 ad1601f1 07e903ce: trying to extract 8 bits from nonblocking
[    6.105159] random 0150 0000 0000 ad1601f1 07e903ce: debiting 8 entropy credits from nonblocking (unlimited)
[    6.105161] random 0150 0000 0000 ad1601f1 07e903ce:   got 1 bytes
[    6.105165] random 0150 0000 0000 ad1601f1 07e903ce: urand_change_num 3965 extract_buf: pool_sig fffffce8, data_sig fffffee2, bytes_mixed 20 ad1601f1 07e903ce
[    6.105171] random 0150 0000 0000 00b2dbd6 7db2f205: rand_read_num 977 urandom_read(1): sig fffff8b7 00b2dbd6 7db2f205 pid=1066 comm=dd
[    6.105173] random 0150 0000 0000 00b2dbd6 7db2f205: extract_entropy_user(1)
[    6.105175] random 0150 0000 0000 00b2dbd6 7db2f205: going to reseed nonblocking with 64 bits (8 of 0 requested)
[    6.105177] random 0150 0000 0000 00b2dbd6 7db2f205: extract_entropy(.. 8 ..)
[    6.105179] random 0150 0000 0000 00b2dbd6 7db2f205: trying to extract 64 bits from input
[    6.105181] random 0150 0000 0000 00b2dbd6 7db2f205: debiting 0 entropy credits from input
[    6.105183] random 0150 0000 0000 00b2dbd6 7db2f205: extract_entropy account returned: 0 
[    6.105186] random 0150 0000 0000 00b2dbd6 7db2f205: urand_change_num 3966 xfer_secondary_pool(1): pool_sig fffff8b7, data_sig 00000000, bytes_mixed 0 00b2dbd6 7db2f205
[    6.105189] random 0150 0000 0000 00b2dbd6 7db2f205: trying to extract 8 bits from nonblocking
[    6.105191] random 0150 0000 0000 00b2dbd6 7db2f205: debiting 8 entropy credits from nonblocking (unlimited)
[    6.105193] random 0150 0000 0000 00b2dbd6 7db2f205:   got 1 bytes
[    6.105197] random 0150 0000 0000 00b2dbd6 7db2f205: urand_change_num 3967 extract_buf: pool_sig fffff8b7, data_sig fffffec3, bytes_mixed 20 00b2dbd6 7db2f205
[    6.105203] random 0150 0000 0000 00b2dbd6 7db2f205: rand_read_num 978 urandom_read(1): sig fffffe97 00b2dbd6 7db2f205 pid=1066 comm=dd
[    6.105205] random 0150 0000 0000 00b2dbd6 7db2f205: extract_entropy_user(1)
[    6.105207] random 0150 0000 0000 00b2dbd6 7db2f205: going to reseed nonblocking with 64 bits (8 of 0 requested)
[    6.105209] random 0150 0000 0000 00b2dbd6 7db2f205: extract_entropy(.. 8 ..)
[    6.105220] random 0150 0000 0000 00b2dbd6 7db2f205: trying to extract 64 bits from input
[    6.105222] random 0150 0000 0000 00b2dbd6 7db2f205: debiting 0 entropy credits from input
[    6.105224] random 0150 0000 0000 00b2dbd6 7db2f205: extract_entropy account returned: 0 
[    6.105227] random 0150 0000 0000 00b2dbd6 7db2f205: urand_change_num 3968 xfer_secondary_pool(1): pool_sig fffffe97, data_sig 00000000, bytes_mixed 0 00b2dbd6 7db2f205
[    6.105230] random 0150 0000 0000 00b2dbd6 7db2f205: trying to extract 8 bits from nonblocking
[    6.105232] random 0150 0000 0000 00b2dbd6 7db2f205: debiting 8 entropy credits from nonblocking (unlimited)
[    6.105234] random 0150 0000 0000 00b2dbd6 7db2f205:   got 1 bytes
[    6.105237] random 0150 0000 0000 00b2dbd6 7db2f205: urand_change_num 3969 extract_buf: pool_sig fffffe97, data_sig fffffeac, bytes_mixed 20 00b2dbd6 7db2f205
[    6.105245] random 0150 0000 0000 ef238eb9 f7076504: rand_read_num 979 urandom_read(1): sig 00000076 ef238eb9 f7076504 pid=1066 comm=dd
[    6.105248] random 0150 0000 0000 ef238eb9 f7076504: extract_entropy_user(1)
[    6.105250] random 0150 0000 0000 ef238eb9 f7076504: going to reseed nonblocking with 64 bits (8 of 0 requested)
[    6.105252] random 0150 0000 0000 ef238eb9 f7076504: extract_entropy(.. 8 ..)
[    6.105254] random 0150 0000 0000 ef238eb9 f7076504: trying to extract 64 bits from input
[    6.105256] random 0150 0000 0000 ef238eb9 f7076504: debiting 0 entropy credits from input
[    6.105258] random 0150 0000 0000 ef238eb9 f7076504: extract_entropy account returned: 0 
[    6.105261] random 0150 0000 0000 ef238eb9 f7076504: urand_change_num 3970 xfer_secondary_pool(1): pool_sig 00000076, data_sig 00000000, bytes_mixed 0 ef238eb9 f7076504
[    6.105264] random 0150 0000 0000 ef238eb9 f7076504: trying to extract 8 bits from nonblocking
[    6.105266] random 0150 0000 0000 ef238eb9 f7076504: debiting 8 entropy credits from nonblocking (unlimited)
[    6.105268] random 0150 0000 0000 ef238eb9 f7076504:   got 1 bytes
[    6.105272] random 0150 0000 0000 ef238eb9 f7076504: urand_change_num 3971 extract_buf: pool_sig 00000076, data_sig ffffff68, bytes_mixed 20 ef238eb9 f7076504
[    6.105278] random 0150 0000 0000 6d90f5b0 ca7172e6: rand_read_num 980 urandom_read(1): sig fffffe21 6d90f5b0 ca7172e6 pid=1066 comm=dd
[    6.105280] random 0150 0000 0000 6d90f5b0 ca7172e6: extract_entropy_user(1)
[    6.105282] random 0150 0000 0000 6d90f5b0 ca7172e6: going to reseed nonblocking with 64 bits (8 of 0 requested)
[    6.105284] random 0150 0000 0000 6d90f5b0 ca7172e6: extract_entropy(.. 8 ..)
[    6.105286] random 0150 0000 0000 6d90f5b0 ca7172e6: trying to extract 64 bits from input
[    6.105289] random 0150 0000 0000 6d90f5b0 ca7172e6: debiting 0 entropy credits from input
[    6.105291] random 0150 0000 0000 6d90f5b0 ca7172e6: extract_entropy account returned: 0 
[    6.105294] random 0150 0000 0000 6d90f5b0 ca7172e6: urand_change_num 3972 xfer_secondary_pool(1): pool_sig fffffe21, data_sig 00000000, bytes_mixed 0 6d90f5b0 ca7172e6
[    6.105296] random 0150 0000 0000 6d90f5b0 ca7172e6: trying to extract 8 bits from nonblocking
[    6.105298] random 0150 0000 0000 6d90f5b0 ca7172e6: debiting 8 entropy credits from nonblocking (unlimited)
[    6.105301] random 0150 0000 0000 6d90f5b0 ca7172e6:   got 1 bytes
[    6.105304] random 0150 0000 0000 6d90f5b0 ca7172e6: urand_change_num 3973 extract_buf: pool_sig fffffe21, data_sig ffffff53, bytes_mixed 20 6d90f5b0 ca7172e6
[    6.105310] random 0150 0000 0000 6d90f5b0 ca7172e6: rand_read_num 981 urandom_read(1): sig fffffddb 6d90f5b0 ca7172e6 pid=1066 comm=dd
[    6.105312] random 0150 0000 0000 6d90f5b0 ca7172e6: extract_entropy_user(1)
[    6.105314] random 0150 0000 0000 6d90f5b0 ca7172e6: going to reseed nonblocking with 64 bits (8 of 0 requested)
[    6.105317] random 0150 0000 0000 6d90f5b0 ca7172e6: extract_entropy(.. 8 ..)
[    6.105319] random 0150 0000 0000 6d90f5b0 ca7172e6: trying to extract 64 bits from input
[    6.105321] random 0150 0000 0000 6d90f5b0 ca7172e6: debiting 0 entropy credits from input
[    6.105323] random 0150 0000 0000 6d90f5b0 ca7172e6: extract_entropy account returned: 0 
[    6.105326] random 0150 0000 0000 6d90f5b0 ca7172e6: urand_change_num 3974 xfer_secondary_pool(1): pool_sig fffffddb, data_sig 00000000, bytes_mixed 0 6d90f5b0 ca7172e6
[    6.105328] random 0150 0000 0000 6d90f5b0 ca7172e6: trying to extract 8 bits from nonblocking
[    6.105331] random 0150 0000 0000 6d90f5b0 ca7172e6: debiting 8 entropy credits from nonblocking (unlimited)
[    6.105333] random 0150 0000 0000 6d90f5b0 ca7172e6:   got 1 bytes
[    6.105336] random 0150 0000 0000 6d90f5b0 ca7172e6: urand_change_num 3975 extract_buf: pool_sig fffffddb, data_sig 00000060, bytes_mixed 20 6d90f5b0 ca7172e6
[    6.105342] random 0150 0000 0000 2d7625fa 88779eed: rand_read_num 982 urandom_read(1): sig fffffd83 2d7625fa 88779eed pid=1066 comm=dd
[    6.105344] random 0150 0000 0000 2d7625fa 88779eed: extract_entropy_user(1)
[    6.105346] random 0150 0000 0000 2d7625fa 88779eed: going to reseed nonblocking with 64 bits (8 of 0 requested)
[    6.105349] random 0150 0000 0000 2d7625fa 88779eed: extract_entropy(.. 8 ..)
[    6.105351] random 0150 0000 0000 2d7625fa 88779eed: trying to extract 64 bits from input
[    6.105353] random 0150 0000 0000 2d7625fa 88779eed: debiting 0 entropy credits from input
[    6.105355] random 0150 0000 0000 2d7625fa 88779eed: extract_entropy account returned: 0 
[    6.105358] random 0150 0000 0000 2d7625fa 88779eed: urand_change_num 3976 xfer_secondary_pool(1): pool_sig fffffd83, data_sig 00000000, bytes_mixed 0 2d7625fa 88779eed
[    6.105360] random 0150 0000 0000 2d7625fa 88779eed: trying to extract 8 bits from nonblocking
[    6.105363] random 0150 0000 0000 2d7625fa 88779eed: debiting 8 entropy credits from nonblocking (unlimited)
[    6.105365] random 0150 0000 0000 2d7625fa 88779eed:   got 1 bytes
[    6.105368] random 0150 0000 0000 2d7625fa 88779eed: urand_change_num 3977 extract_buf: pool_sig fffffd83, data_sig fffffd06, bytes_mixed 20 2d7625fa 88779eed
[    6.105374] random 0150 0000 0000 2d7625fa 88779eed: rand_read_num 983 urandom_read(1): sig fffffe69 2d7625fa 88779eed pid=1066 comm=dd
[    6.105376] random 0150 0000 0000 2d7625fa 88779eed: extract_entropy_user(1)
[    6.105379] random 0150 0000 0000 2d7625fa 88779eed: going to reseed nonblocking with 64 bits (8 of 0 requested)
[    6.105381] random 0150 0000 0000 2d7625fa 88779eed: extract_entropy(.. 8 ..)
[    6.105383] random 0150 0000 0000 2d7625fa 88779eed: trying to extract 64 bits from input
[    6.105385] random 0150 0000 0000 2d7625fa 88779eed: debiting 0 entropy credits from input
[    6.105387] random 0150 0000 0000 2d7625fa 88779eed: extract_entropy account returned: 0 
[    6.105390] random 0150 0000 0000 2d7625fa 88779eed: urand_change_num 3978 xfer_secondary_pool(1): pool_sig fffffe69, data_sig 00000000, bytes_mixed 0 2d7625fa 88779eed
[    6.105393] random 0150 0000 0000 2d7625fa 88779eed: trying to extract 8 bits from nonblocking
[    6.105395] random 0150 0000 0000 2d7625fa 88779eed: debiting 8 entropy credits from nonblocking (unlimited)
[    6.105397] random 0150 0000 0000 2d7625fa 88779eed:   got 1 bytes
[    6.105400] random 0150 0000 0000 2d7625fa 88779eed: urand_change_num 3979 extract_buf: pool_sig fffffe69, data_sig fffffd94, bytes_mixed 20 2d7625fa 88779eed
[    6.105406] random 0150 0000 0000 13f576e1 82ba2dc5: rand_read_num 984 urandom_read(1): sig ffffff91 13f576e1 82ba2dc5 pid=1066 comm=dd
[    6.105409] random 0150 0000 0000 13f576e1 82ba2dc5: extract_entropy_user(1)
[    6.105411] random 0150 0000 0000 13f576e1 82ba2dc5: going to reseed nonblocking with 64 bits (8 of 0 requested)
[    6.105413] random 0150 0000 0000 13f576e1 82ba2dc5: extract_entropy(.. 8 ..)
[    6.105415] random 0150 0000 0000 13f576e1 82ba2dc5: trying to extract 64 bits from input
[    6.105417] random 0150 0000 0000 13f576e1 82ba2dc5: debiting 0 entropy credits from input
[    6.105419] random 0150 0000 0000 13f576e1 82ba2dc5: extract_entropy account returned: 0 
[    6.105422] random 0150 0000 0000 13f576e1 82ba2dc5: urand_change_num 3980 xfer_secondary_pool(1): pool_sig ffffff91, data_sig 00000000, bytes_mixed 0 13f576e1 82ba2dc5
[    6.105425] random 0150 0000 0000 13f576e1 82ba2dc5: trying to extract 8 bits from nonblocking
[    6.105427] random 0150 0000 0000 13f576e1 82ba2dc5: debiting 8 entropy credits from nonblocking (unlimited)
[    6.105429] random 0150 0000 0000 13f576e1 82ba2dc5:   got 1 bytes
[    6.105432] random 0150 0000 0000 13f576e1 82ba2dc5: urand_change_num 3981 extract_buf: pool_sig ffffff91, data_sig 0000012e, bytes_mixed 20 13f576e1 82ba2dc5
[    6.105438] random 0150 0000 0000 2b878501 00ea0054: rand_read_num 985 urandom_read(1): sig 00000002 2b878501 00ea0054 pid=1066 comm=dd
[    6.105441] random 0150 0000 0000 2b878501 00ea0054: extract_entropy_user(1)
[    6.105443] random 0150 0000 0000 2b878501 00ea0054: going to reseed nonblocking with 64 bits (8 of 0 requested)
[    6.105445] random 0150 0000 0000 2b878501 00ea0054: extract_entropy(.. 8 ..)
[    6.105447] random 0150 0000 0000 2b878501 00ea0054: trying to extract 64 bits from input
[    6.105449] random 0150 0000 0000 2b878501 00ea0054: debiting 0 entropy credits from input
[    6.105451] random 0150 0000 0000 2b878501 00ea0054: extract_entropy account returned: 0 
[    6.105454] random 0150 0000 0000 2b878501 00ea0054: urand_change_num 3982 xfer_secondary_pool(1): pool_sig 00000002, data_sig 00000000, bytes_mixed 0 2b878501 00ea0054
[    6.105457] random 0150 0000 0000 2b878501 00ea0054: trying to extract 8 bits from nonblocking
[    6.105459] random 0150 0000 0000 2b878501 00ea0054: debiting 8 entropy credits from nonblocking (unlimited)
[    6.105461] random 0150 0000 0000 2b878501 00ea0054:   got 1 bytes
[    6.105465] random 0150 0000 0000 2b878501 00ea0054: urand_change_num 3983 extract_buf: pool_sig 00000002, data_sig fffffef3, bytes_mixed 20 2b878501 00ea0054
[    6.105471] random 0150 0000 0000 2b878501 00ea0054: rand_read_num 986 urandom_read(1): sig fffff8df 2b878501 00ea0054 pid=1066 comm=dd
[    6.105473] random 0150 0000 0000 2b878501 00ea0054: extract_entropy_user(1)
[    6.105475] random 0150 0000 0000 2b878501 00ea0054: going to reseed nonblocking with 64 bits (8 of 0 requested)
[    6.105477] random 0150 0000 0000 2b878501 00ea0054: extract_entropy(.. 8 ..)
[    6.105479] random 0150 0000 0000 2b878501 00ea0054: trying to extract 64 bits from input
[    6.105482] random 0150 0000 0000 2b878501 00ea0054: debiting 0 entropy credits from input
[    6.105484] random 0150 0000 0000 2b878501 00ea0054: extract_entropy account returned: 0 
[    6.105486] random 0150 0000 0000 2b878501 00ea0054: urand_change_num 3984 xfer_secondary_pool(1): pool_sig fffff8df, data_sig 00000000, bytes_mixed 0 2b878501 00ea0054
[    6.105489] random 0150 0000 0000 2b878501 00ea0054: trying to extract 8 bits from nonblocking
[    6.105491] random 0150 0000 0000 2b878501 00ea0054: debiting 8 entropy credits from nonblocking (unlimited)
[    6.105494] random 0150 0000 0000 2b878501 00ea0054:   got 1 bytes
[    6.105497] random 0150 0000 0000 2b878501 00ea0054: urand_change_num 3985 extract_buf: pool_sig fffff8df, data_sig ffffff22, bytes_mixed 20 2b878501 00ea0054
[    6.105503] random 0150 0000 0000 248d702c 84055ebd: rand_read_num 987 urandom_read(1): sig fffffd12 248d702c 84055ebd pid=1066 comm=dd
[    6.105505] random 0150 0000 0000 248d702c 84055ebd: extract_entropy_user(1)
[    6.105507] random 0150 0000 0000 248d702c 84055ebd: going to reseed nonblocking with 64 bits (8 of 0 requested)
[    6.105509] random 0150 0000 0000 248d702c 84055ebd: extract_entropy(.. 8 ..)
[    6.105511] random 0150 0000 0000 248d702c 84055ebd: trying to extract 64 bits from input
[    6.105514] random 0150 0000 0000 248d702c 84055ebd: debiting 0 entropy credits from input
[    6.105516] random 0150 0000 0000 248d702c 84055ebd: extract_entropy account returned: 0 
[    6.105519] random 0150 0000 0000 248d702c 84055ebd: urand_change_num 3986 xfer_secondary_pool(1): pool_sig fffffd12, data_sig 00000000, bytes_mixed 0 248d702c 84055ebd
[    6.105521] random 0150 0000 0000 248d702c 84055ebd: trying to extract 8 bits from nonblocking
[    6.105523] random 0150 0000 0000 248d702c 84055ebd: debiting 8 entropy credits from nonblocking (unlimited)
[    6.105526] random 0150 0000 0000 248d702c 84055ebd:   got 1 bytes
[    6.105529] random 0150 0000 0000 248d702c 84055ebd: urand_change_num 3987 extract_buf: pool_sig fffffd12, data_sig 00000139, bytes_mixed 20 248d702c 84055ebd
[    6.105535] random 0150 0000 0000 eb56200c 92a37741: rand_read_num 988 urandom_read(1): sig fffffdf9 eb56200c 92a37741 pid=1066 comm=dd
[    6.105537] random 0150 0000 0000 eb56200c 92a37741: extract_entropy_user(1)
[    6.105539] random 0150 0000 0000 eb56200c 92a37741: going to reseed nonblocking with 64 bits (8 of 0 requested)
[    6.105541] random 0150 0000 0000 eb56200c 92a37741: extract_entropy(.. 8 ..)
[    6.105543] random 0150 0000 0000 eb56200c 92a37741: trying to extract 64 bits from input
[    6.105546] random 0150 0000 0000 eb56200c 92a37741: debiting 0 entropy credits from input
[    6.105548] random 0150 0000 0000 eb56200c 92a37741: extract_entropy account returned: 0 
[    6.105551] random 0150 0000 0000 eb56200c 92a37741: urand_change_num 3988 xfer_secondary_pool(1): pool_sig fffffdf9, data_sig 00000000, bytes_mixed 0 eb56200c 92a37741
[    6.105553] random 0150 0000 0000 eb56200c 92a37741: trying to extract 8 bits from nonblocking
[    6.105556] random 0150 0000 0000 eb56200c 92a37741: debiting 8 entropy credits from nonblocking (unlimited)
[    6.105558] random 0150 0000 0000 eb56200c 92a37741:   got 1 bytes
[    6.105561] random 0150 0000 0000 eb56200c 92a37741: urand_change_num 3989 extract_buf: pool_sig fffffdf9, data_sig 00000062, bytes_mixed 20 eb56200c 92a37741
[    6.105567] random 0150 0000 0000 eb56200c 92a37741: rand_read_num 989 urandom_read(1): sig fffffc40 eb56200c 92a37741 pid=1066 comm=dd
[    6.105569] random 0150 0000 0000 eb56200c 92a37741: extract_entropy_user(1)
[    6.105571] random 0150 0000 0000 eb56200c 92a37741: going to reseed nonblocking with 64 bits (8 of 0 requested)
[    6.105573] random 0150 0000 0000 eb56200c 92a37741: extract_entropy(.. 8 ..)
[    6.105576] random 0150 0000 0000 eb56200c 92a37741: trying to extract 64 bits from input
[    6.105578] random 0150 0000 0000 eb56200c 92a37741: debiting 0 entropy credits from input
[    6.105580] random 0150 0000 0000 eb56200c 92a37741: extract_entropy account returned: 0 
[    6.105583] random 0150 0000 0000 eb56200c 92a37741: urand_change_num 3990 xfer_secondary_pool(1): pool_sig fffffc40, data_sig 00000000, bytes_mixed 0 eb56200c 92a37741
[    6.105585] random 0150 0000 0000 eb56200c 92a37741: trying to extract 8 bits from nonblocking
[    6.105588] random 0150 0000 0000 eb56200c 92a37741: debiting 8 entropy credits from nonblocking (unlimited)
[    6.105590] random 0150 0000 0000 eb56200c 92a37741:   got 1 bytes
[    6.105593] random 0150 0000 0000 eb56200c 92a37741: urand_change_num 3991 extract_buf: pool_sig fffffc40, data_sig 0000025f, bytes_mixed 20 eb56200c 92a37741
[    6.105599] random 0150 0000 0000 06d94293 662baf11: rand_read_num 990 urandom_read(1): sig fffffb3b 06d94293 662baf11 pid=1066 comm=dd
[    6.105601] random 0150 0000 0000 06d94293 662baf11: extract_entropy_user(1)
[    6.105603] random 0150 0000 0000 06d94293 662baf11: going to reseed nonblocking with 64 bits (8 of 0 requested)
[    6.105606] random 0150 0000 0000 06d94293 662baf11: extract_entropy(.. 8 ..)
[    6.105608] random 0150 0000 0000 06d94293 662baf11: trying to extract 64 bits from input
[    6.105610] random 0150 0000 0000 06d94293 662baf11: debiting 0 entropy credits from input
[    6.105612] random 0150 0000 0000 06d94293 662baf11: extract_entropy account returned: 0 
[    6.105615] random 0150 0000 0000 06d94293 662baf11: urand_change_num 3992 xfer_secondary_pool(1): pool_sig fffffb3b, data_sig 00000000, bytes_mixed 0 06d94293 662baf11
[    6.105617] random 0150 0000 0000 06d94293 662baf11: trying to extract 8 bits from nonblocking
[    6.105620] random 0150 0000 0000 06d94293 662baf11: debiting 8 entropy credits from nonblocking (unlimited)
[    6.105622] random 0150 0000 0000 06d94293 662baf11:   got 1 bytes
[    6.105625] random 0150 0000 0000 06d94293 662baf11: urand_change_num 3993 extract_buf: pool_sig fffffb3b, data_sig 00000005, bytes_mixed 20 06d94293 662baf11
[    6.105631] random 0150 0000 0000 06d94293 662baf11: rand_read_num 991 urandom_read(1): sig ffffff18 06d94293 662baf11 pid=1066 comm=dd
[    6.105633] random 0150 0000 0000 06d94293 662baf11: extract_entropy_user(1)
[    6.105636] random 0150 0000 0000 06d94293 662baf11: going to reseed nonblocking with 64 bits (8 of 0 requested)
[    6.105638] random 0150 0000 0000 06d94293 662baf11: extract_entropy(.. 8 ..)
[    6.105640] random 0150 0000 0000 06d94293 662baf11: trying to extract 64 bits from input
[    6.105642] random 0150 0000 0000 06d94293 662baf11: debiting 0 entropy credits from input
[    6.105644] random 0150 0000 0000 06d94293 662baf11: extract_entropy account returned: 0 
[    6.105647] random 0150 0000 0000 06d94293 662baf11: urand_change_num 3994 xfer_secondary_pool(1): pool_sig ffffff18, data_sig 00000000, bytes_mixed 0 06d94293 662baf11
[    6.105650] random 0150 0000 0000 06d94293 662baf11: trying to extract 8 bits from nonblocking
[    6.105652] random 0150 0000 0000 06d94293 662baf11: debiting 8 entropy credits from nonblocking (unlimited)
[    6.105654] random 0150 0000 0000 06d94293 662baf11:   got 1 bytes
[    6.105657] random 0150 0000 0000 06d94293 662baf11: urand_change_num 3995 extract_buf: pool_sig ffffff18, data_sig ffffff9b, bytes_mixed 20 06d94293 662baf11
[    6.105663] random 0150 0000 0000 c906ac3e e015869c: rand_read_num 992 urandom_read(1): sig ffffffc8 c906ac3e e015869c pid=1066 comm=dd
[    6.105665] random 0150 0000 0000 c906ac3e e015869c: extract_entropy_user(1)
[    6.105668] random 0150 0000 0000 c906ac3e e015869c: going to reseed nonblocking with 64 bits (8 of 0 requested)
[    6.105670] random 0150 0000 0000 c906ac3e e015869c: extract_entropy(.. 8 ..)
[    6.105672] random 0150 0000 0000 c906ac3e e015869c: trying to extract 64 bits from input
[    6.105674] random 0150 0000 0000 c906ac3e e015869c: debiting 0 entropy credits from input
[    6.105676] random 0150 0000 0000 c906ac3e e015869c: extract_entropy account returned: 0 
[    6.105679] random 0150 0000 0000 c906ac3e e015869c: urand_change_num 3996 xfer_secondary_pool(1): pool_sig ffffffc8, data_sig 00000000, bytes_mixed 0 c906ac3e e015869c
[    6.105682] random 0150 0000 0000 c906ac3e e015869c: trying to extract 8 bits from nonblocking
[    6.105684] random 0150 0000 0000 c906ac3e e015869c: debiting 8 entropy credits from nonblocking (unlimited)
[    6.105686] random 0150 0000 0000 c906ac3e e015869c:   got 1 bytes
[    6.105689] random 0150 0000 0000 c906ac3e e015869c: urand_change_num 3997 extract_buf: pool_sig ffffffc8, data_sig ffffff5a, bytes_mixed 20 c906ac3e e015869c
[    6.105695] random 0150 0000 0000 5c01a5ff 479c4c89: rand_read_num 993 urandom_read(1): sig 00000015 5c01a5ff 479c4c89 pid=1066 comm=dd
[    6.105697] random 0150 0000 0000 5c01a5ff 479c4c89: extract_entropy_user(1)
[    6.105700] random 0150 0000 0000 5c01a5ff 479c4c89: going to reseed nonblocking with 64 bits (8 of 0 requested)
[    6.105702] random 0150 0000 0000 5c01a5ff 479c4c89: extract_entropy(.. 8 ..)
[    6.105704] random 0150 0000 0000 5c01a5ff 479c4c89: trying to extract 64 bits from input
[    6.105706] random 0150 0000 0000 5c01a5ff 479c4c89: debiting 0 entropy credits from input
[    6.105708] random 0150 0000 0000 5c01a5ff 479c4c89: extract_entropy account returned: 0 
[    6.105711] random 0150 0000 0000 5c01a5ff 479c4c89: urand_change_num 3998 xfer_secondary_pool(1): pool_sig 00000015, data_sig 00000000, bytes_mixed 0 5c01a5ff 479c4c89
[    6.105714] random 0150 0000 0000 5c01a5ff 479c4c89: trying to extract 8 bits from nonblocking
[    6.105716] random 0150 0000 0000 5c01a5ff 479c4c89: debiting 8 entropy credits from nonblocking (unlimited)
[    6.105718] random 0150 0000 0000 5c01a5ff 479c4c89:   got 1 bytes
[    6.105721] random 0150 0000 0000 5c01a5ff 479c4c89: urand_change_num 3999 extract_buf: pool_sig 00000015, data_sig ffffff67, bytes_mixed 20 5c01a5ff 479c4c89
[    6.105727] random 0150 0000 0000 5c01a5ff 479c4c89: rand_read_num 994 urandom_read(1): sig 000004a3 5c01a5ff 479c4c89 pid=1066 comm=dd
[    6.105730] random 0150 0000 0000 5c01a5ff 479c4c89: extract_entropy_user(1)
[    6.105732] random 0150 0000 0000 5c01a5ff 479c4c89: going to reseed nonblocking with 64 bits (8 of 0 requested)
[    6.105734] random 0150 0000 0000 5c01a5ff 479c4c89: extract_entropy(.. 8 ..)
[    6.105736] random 0150 0000 0000 5c01a5ff 479c4c89: trying to extract 64 bits from input
[    6.105738] random 0150 0000 0000 5c01a5ff 479c4c89: debiting 0 entropy credits from input
[    6.105740] random 0150 0000 0000 5c01a5ff 479c4c89: extract_entropy account returned: 0 
[    6.105743] random 0150 0000 0000 5c01a5ff 479c4c89: urand_change_num 4000 xfer_secondary_pool(1): pool_sig 000004a3, data_sig 00000000, bytes_mixed 0 5c01a5ff 479c4c89
[    6.105746] random 0150 0000 0000 5c01a5ff 479c4c89: trying to extract 8 bits from nonblocking
[    6.105748] random 0150 0000 0000 5c01a5ff 479c4c89: debiting 8 entropy credits from nonblocking (unlimited)
[    6.105750] random 0150 0000 0000 5c01a5ff 479c4c89:   got 1 bytes
[    6.105753] random 0150 0000 0000 5c01a5ff 479c4c89: urand_change_num 4001 extract_buf: pool_sig 000004a3, data_sig 000000a9, bytes_mixed 20 5c01a5ff 479c4c89
[    6.105759] random 0150 0000 0000 96f0eab0 46d2b0a8: rand_read_num 995 urandom_read(1): sig fffffdf0 96f0eab0 46d2b0a8 pid=1066 comm=dd
[    6.105762] random 0150 0000 0000 96f0eab0 46d2b0a8: extract_entropy_user(1)
[    6.105764] random 0150 0000 0000 96f0eab0 46d2b0a8: going to reseed nonblocking with 64 bits (8 of 0 requested)
[    6.105766] random 0150 0000 0000 96f0eab0 46d2b0a8: extract_entropy(.. 8 ..)
[    6.105768] random 0150 0000 0000 96f0eab0 46d2b0a8: trying to extract 64 bits from input
[    6.105770] random 0150 0000 0000 96f0eab0 46d2b0a8: debiting 0 entropy credits from input
[    6.105772] random 0150 0000 0000 96f0eab0 46d2b0a8: extract_entropy account returned: 0 
