
<7>[    3.589317] random 0030 0000 0000 9bdad8b7 f39b4c75: add_timer_randomness(.. 8388864) with jiffies: 6305966547009461895, cycles: 6305966542714571213
[    5.509595] random 0108 0000 0000 483cd5c3 67e5380e: extract_entropy account returned: 0 
[    5.509598] random 0108 0000 0000 483cd5c3 67e5380e: urand_change_num 3301 xfer_secondary_pool(16): pool_sig ffffff31, data_sig 00000000, bytes_mixed 0 483cd5c3 67e5380e
[    5.509601] random 0108 0000 0000 483cd5c3 67e5380e: trying to extract 128 bits from nonblocking
[    5.509603] random 0108 0000 0000 483cd5c3 67e5380e: debiting 128 entropy credits from nonblocking (unlimited)
[    5.509605] random 0108 0000 0000 483cd5c3 67e5380e: extract_entropy account returned: 16 
[    5.509609] random 0108 0000 0000 483cd5c3 67e5380e: urand_change_num 3302 extract_buf: pool_sig ffffff31, data_sig ffffff04, bytes_mixed 20 483cd5c3 67e5380e
[    5.509613] random 0108 0000 0000 483cd5c3 67e5380e: urand_change_num 3303 extract_buf: pool_sig fffffb10, data_sig fffffc1b, bytes_mixed 20 483cd5c3 67e5380e
[    5.509877] random 0108 0000 0000 39eba42d fe660c74: rand_read_num 724 get_random_bytes(16): sig fffffbdc 39eba42d fe660c74
[    5.509879] random 0108 0000 0000 39eba42d fe660c74: extract_entropy(.. 16 ..)
[    5.509882] random 0108 0000 0000 39eba42d fe660c74: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.509884] random 0108 0000 0000 39eba42d fe660c74: extract_entropy(.. 16 ..)
[    5.509886] random 0108 0000 0000 39eba42d fe660c74: trying to extract 128 bits from input
[    5.509889] random 0108 0000 0000 39eba42d fe660c74: debiting 0 entropy credits from input
[    5.509891] random 0108 0000 0000 39eba42d fe660c74: extract_entropy account returned: 0 
[    5.509894] random 0108 0000 0000 39eba42d fe660c74: urand_change_num 3304 xfer_secondary_pool(16): pool_sig fffffbdc, data_sig 00000000, bytes_mixed 0 39eba42d fe660c74
[    5.509897] random 0108 0000 0000 39eba42d fe660c74: trying to extract 128 bits from nonblocking
[    5.509899] random 0108 0000 0000 39eba42d fe660c74: debiting 128 entropy credits from nonblocking (unlimited)
[    5.509901] random 0108 0000 0000 39eba42d fe660c74: extract_entropy account returned: 16 
[    5.509905] random 0108 0000 0000 39eba42d fe660c74: urand_change_num 3305 extract_buf: pool_sig fffffbdc, data_sig 0000008f, bytes_mixed 20 39eba42d fe660c74
[    5.509910] random 0108 0000 0000 43226a47 b471647c: urand_change_num 3306 extract_buf: pool_sig ffffff6f, data_sig fffffe59, bytes_mixed 20 43226a47 b471647c
[    5.510304] random 0108 0000 0000 43226a47 b471647c: rand_read_num 725 get_random_bytes(16): sig fffffffa 43226a47 b471647c
[    5.510307] random 0108 0000 0000 43226a47 b471647c: extract_entropy(.. 16 ..)
[    5.510310] random 0108 0000 0000 43226a47 b471647c: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.510312] random 0108 0000 0000 43226a47 b471647c: extract_entropy(.. 16 ..)
[    5.510314] random 0108 0000 0000 43226a47 b471647c: trying to extract 128 bits from input
[    5.510316] random 0108 0000 0000 43226a47 b471647c: debiting 0 entropy credits from input
[    5.510318] random 0108 0000 0000 43226a47 b471647c: extract_entropy account returned: 0 
[    5.510321] random 0108 0000 0000 43226a47 b471647c: urand_change_num 3307 xfer_secondary_pool(16): pool_sig fffffffa, data_sig 00000000, bytes_mixed 0 43226a47 b471647c
[    5.510324] random 0108 0000 0000 43226a47 b471647c: trying to extract 128 bits from nonblocking
[    5.510327] random 0108 0000 0000 43226a47 b471647c: debiting 128 entropy credits from nonblocking (unlimited)
[    5.510329] random 0108 0000 0000 43226a47 b471647c: extract_entropy account returned: 16 
[    5.510333] random 0108 0000 0000 43226a47 b471647c: urand_change_num 3308 extract_buf: pool_sig fffffffa, data_sig 000000fd, bytes_mixed 20 43226a47 b471647c
[    5.510337] random 0108 0000 0000 9b344c18 0f27d130: urand_change_num 3309 extract_buf: pool_sig 000002d2, data_sig ffffff03, bytes_mixed 20 9b344c18 0f27d130
[    5.510835] random 0108 0000 0000 8db0ccbd 9e983fbb: rand_read_num 726 get_random_bytes(16): sig fffffc51 8db0ccbd 9e983fbb
[    5.510838] random 0108 0000 0000 8db0ccbd 9e983fbb: extract_entropy(.. 16 ..)
[    5.510841] random 0108 0000 0000 8db0ccbd 9e983fbb: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.510843] random 0108 0000 0000 8db0ccbd 9e983fbb: extract_entropy(.. 16 ..)
[    5.510845] random 0108 0000 0000 8db0ccbd 9e983fbb: trying to extract 128 bits from input
[    5.510847] random 0108 0000 0000 8db0ccbd 9e983fbb: debiting 0 entropy credits from input
[    5.510849] random 0108 0000 0000 8db0ccbd 9e983fbb: extract_entropy account returned: 0 
[    5.510852] random 0108 0000 0000 8db0ccbd 9e983fbb: urand_change_num 3310 xfer_secondary_pool(16): pool_sig fffffc51, data_sig 00000000, bytes_mixed 0 8db0ccbd 9e983fbb
[    5.510855] random 0108 0000 0000 8db0ccbd 9e983fbb: trying to extract 128 bits from nonblocking
[    5.510858] random 0108 0000 0000 8db0ccbd 9e983fbb: debiting 128 entropy credits from nonblocking (unlimited)
[    5.510860] random 0108 0000 0000 8db0ccbd 9e983fbb: extract_entropy account returned: 16 
[    5.510864] random 0108 0000 0000 8db0ccbd 9e983fbb: urand_change_num 3311 extract_buf: pool_sig fffffc51, data_sig 0000002e, bytes_mixed 20 8db0ccbd 9e983fbb
[    5.510868] random 0108 0000 0000 8db0ccbd 9e983fbb: urand_change_num 3312 extract_buf: pool_sig ffffffe8, data_sig ffffff19, bytes_mixed 20 8db0ccbd 9e983fbb
[    5.511353] random 0108 0000 0000 96087e32 61d0f45b: rand_read_num 727 get_random_bytes(16): sig fffffd9f 96087e32 61d0f45b
[    5.511356] random 0108 0000 0000 96087e32 61d0f45b: extract_entropy(.. 16 ..)
[    5.511359] random 0108 0000 0000 96087e32 61d0f45b: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.511361] random 0108 0000 0000 96087e32 61d0f45b: extract_entropy(.. 16 ..)
[    5.511363] random 0108 0000 0000 96087e32 61d0f45b: trying to extract 128 bits from input
[    5.511366] random 0108 0000 0000 96087e32 61d0f45b: debiting 0 entropy credits from input
[    5.511368] random 0108 0000 0000 96087e32 61d0f45b: extract_entropy account returned: 0 
[    5.511371] random 0108 0000 0000 96087e32 61d0f45b: urand_change_num 3313 xfer_secondary_pool(16): pool_sig fffffd9f, data_sig 00000000, bytes_mixed 0 96087e32 61d0f45b
[    5.511373] random 0108 0000 0000 96087e32 61d0f45b: trying to extract 128 bits from nonblocking
[    5.511376] random 0108 0000 0000 96087e32 61d0f45b: debiting 128 entropy credits from nonblocking (unlimited)
[    5.511378] random 0108 0000 0000 96087e32 61d0f45b: extract_entropy account returned: 16 
[    5.511382] random 0108 0000 0000 96087e32 61d0f45b: urand_change_num 3314 extract_buf: pool_sig fffffd9f, data_sig 00000115, bytes_mixed 20 96087e32 61d0f45b
[    5.511387] random 0108 0000 0000 96087e32 61d0f45b: urand_change_num 3315 extract_buf: pool_sig fffffe4d, data_sig 000001fd, bytes_mixed 20 96087e32 61d0f45b
[    5.520964] random 0108 0000 0000 6ce9fa6f 3614325b: rand_read_num 728 get_random_bytes(16): sig ffffff96 6ce9fa6f 3614325b
[    5.520967] random 0108 0000 0000 6ce9fa6f 3614325b: extract_entropy(.. 16 ..)
[    5.520970] random 0108 0000 0000 6ce9fa6f 3614325b: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.520972] random 0108 0000 0000 6ce9fa6f 3614325b: extract_entropy(.. 16 ..)
[    5.520975] random 0108 0000 0000 6ce9fa6f 3614325b: trying to extract 128 bits from input
[    5.520977] random 0108 0000 0000 6ce9fa6f 3614325b: debiting 0 entropy credits from input
[    5.520979] random 0108 0000 0000 6ce9fa6f 3614325b: extract_entropy account returned: 0 
[    5.520982] random 0108 0000 0000 6ce9fa6f 3614325b: urand_change_num 3316 xfer_secondary_pool(16): pool_sig ffffff96, data_sig 00000000, bytes_mixed 0 6ce9fa6f 3614325b
[    5.520985] random 0108 0000 0000 6ce9fa6f 3614325b: trying to extract 128 bits from nonblocking
[    5.520988] random 0108 0000 0000 6ce9fa6f 3614325b: debiting 128 entropy credits from nonblocking (unlimited)
[    5.520990] random 0108 0000 0000 6ce9fa6f 3614325b: extract_entropy account returned: 16 
[    5.520994] random 0108 0000 0000 6ce9fa6f 3614325b: urand_change_num 3317 extract_buf: pool_sig ffffff96, data_sig 000000ad, bytes_mixed 20 6ce9fa6f 3614325b
[    5.520999] random 0108 0000 0000 bd1b01cd 31e2274a: urand_change_num 3318 extract_buf: pool_sig ffffffad, data_sig 00000014, bytes_mixed 20 bd1b01cd 31e2274a
[    5.521662] random 0108 0000 0000 bd1b01cd 31e2274a: rand_read_num 729 get_random_bytes(16): sig 00000152 bd1b01cd 31e2274a
[    5.521664] random 0108 0000 0000 bd1b01cd 31e2274a: extract_entropy(.. 16 ..)
[    5.521667] random 0108 0000 0000 bd1b01cd 31e2274a: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.521669] random 0108 0000 0000 bd1b01cd 31e2274a: extract_entropy(.. 16 ..)
[    5.521672] random 0108 0000 0000 bd1b01cd 31e2274a: trying to extract 128 bits from input
[    5.521674] random 0108 0000 0000 bd1b01cd 31e2274a: debiting 0 entropy credits from input
[    5.521676] random 0108 0000 0000 bd1b01cd 31e2274a: extract_entropy account returned: 0 
[    5.521679] random 0108 0000 0000 bd1b01cd 31e2274a: urand_change_num 3319 xfer_secondary_pool(16): pool_sig 00000152, data_sig 00000000, bytes_mixed 0 bd1b01cd 31e2274a
[    5.521682] random 0108 0000 0000 bd1b01cd 31e2274a: trying to extract 128 bits from nonblocking
[    5.521685] random 0108 0000 0000 bd1b01cd 31e2274a: debiting 128 entropy credits from nonblocking (unlimited)
[    5.521687] random 0108 0000 0000 bd1b01cd 31e2274a: extract_entropy account returned: 16 
[    5.521690] random 0108 0000 0000 bd1b01cd 31e2274a: urand_change_num 3320 extract_buf: pool_sig 00000152, data_sig 000001a4, bytes_mixed 20 bd1b01cd 31e2274a
[    5.521695] random 0108 0000 0000 3b31636a 768d9f2d: urand_change_num 3321 extract_buf: pool_sig ffffff95, data_sig 000002c0, bytes_mixed 20 3b31636a 768d9f2d
[    5.522819] random 0108 0000 0000 2e385783 d90fa0b4: add_disk_randomness(8:0) 2e385783 d90fa0b4
[    5.522824] random 0108 0000 0000 2e385783 d90fa0b4: add_timer_randomness(.. 8388864) with jiffies: 7774089022795604075, cycles: 7774089018500712910
[    5.522827] random 0108 0000 0000 2e385783 d90fa0b4: added 2 entropy credits to input
[    5.523554] random 0110 0000 0000 2e385783 d90fa0b4: add_disk_randomness(8:0) 2e385783 d90fa0b4
[    5.523558] random 0110 0000 0000 2e385783 d90fa0b4: add_timer_randomness(.. 8388864) with jiffies: 7781660088065777771, cycles: 7781660083770886606
[    5.525990] RANDOM get_random_int call with cycles 10782185552049, jiffies 4294893676 and pid 1
[    5.541532] RANDOM get_random_int call with cycles 10782222824636, jiffies 4294893680 and pid 1
[    5.541735] random 0110 0000 0000 2e385783 d90fa0b4: rand_read_num 730 get_random_bytes(16): sig fffffb24 2e385783 d90fa0b4
[    5.541738] random 0110 0000 0000 2e385783 d90fa0b4: extract_entropy(.. 16 ..)
[    5.541742] random 0110 0000 0000 2e385783 d90fa0b4: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.541744] random 0110 0000 0000 2e385783 d90fa0b4: extract_entropy(.. 16 ..)
[    5.541747] random 0110 0000 0000 2e385783 d90fa0b4: trying to extract 128 bits from input
[    5.541750] random 0110 0000 0000 2e385783 d90fa0b4: debiting 0 entropy credits from input
[    5.541752] random 0110 0000 0000 2e385783 d90fa0b4: extract_entropy account returned: 0 
[    5.541755] random 0110 0000 0000 2e385783 d90fa0b4: urand_change_num 3322 xfer_secondary_pool(16): pool_sig fffffb24, data_sig 00000000, bytes_mixed 0 2e385783 d90fa0b4
[    5.541758] random 0110 0000 0000 2e385783 d90fa0b4: trying to extract 128 bits from nonblocking
[    5.541761] random 0110 0000 0000 2e385783 d90fa0b4: debiting 128 entropy credits from nonblocking (unlimited)
[    5.541763] random 0110 0000 0000 2e385783 d90fa0b4: extract_entropy account returned: 16 
[    5.541767] random 0110 0000 0000 2e385783 d90fa0b4: urand_change_num 3323 extract_buf: pool_sig fffffb24, data_sig fffffebd, bytes_mixed 20 2e385783 d90fa0b4
[    5.541771] random 0110 0000 0000 2e385783 d90fa0b4: urand_change_num 3324 extract_buf: pool_sig fffffcf2, data_sig 0000018a, bytes_mixed 20 2e385783 d90fa0b4
[    5.542065] random 0110 0000 0000 37da0e51 8fe9a79f: rand_read_num 731 get_random_bytes(16): sig 0000017f 37da0e51 8fe9a79f
[    5.542068] random 0110 0000 0000 37da0e51 8fe9a79f: extract_entropy(.. 16 ..)
[    5.542070] random 0110 0000 0000 37da0e51 8fe9a79f: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.542073] random 0110 0000 0000 37da0e51 8fe9a79f: extract_entropy(.. 16 ..)
[    5.542075] random 0110 0000 0000 37da0e51 8fe9a79f: trying to extract 128 bits from input
[    5.542077] random 0110 0000 0000 37da0e51 8fe9a79f: debiting 0 entropy credits from input
[    5.542080] random 0110 0000 0000 37da0e51 8fe9a79f: extract_entropy account returned: 0 
[    5.542083] random 0110 0000 0000 37da0e51 8fe9a79f: urand_change_num 3325 xfer_secondary_pool(16): pool_sig 0000017f, data_sig 00000000, bytes_mixed 0 37da0e51 8fe9a79f
[    5.542086] random 0110 0000 0000 37da0e51 8fe9a79f: trying to extract 128 bits from nonblocking
[    5.542088] random 0110 0000 0000 37da0e51 8fe9a79f: debiting 128 entropy credits from nonblocking (unlimited)
[    5.542090] random 0110 0000 0000 37da0e51 8fe9a79f: extract_entropy account returned: 16 
[    5.542094] random 0110 0000 0000 37da0e51 8fe9a79f: urand_change_num 3326 extract_buf: pool_sig 0000017f, data_sig 00000164, bytes_mixed 20 37da0e51 8fe9a79f
[    5.542099] random 0110 0000 0000 37da0e51 8fe9a79f: urand_change_num 3327 extract_buf: pool_sig fffffd94, data_sig fffffeb3, bytes_mixed 20 37da0e51 8fe9a79f
[    5.542773] RANDOM get_random_int call with cycles 10782225799501, jiffies 4294893680 and pid 1
[    5.543061] random 0110 0000 0000 2f0e72e6 3212b02a: rand_read_num 732 get_random_bytes(16): sig fffffb0f 2f0e72e6 3212b02a
[    5.543064] random 0110 0000 0000 2f0e72e6 3212b02a: extract_entropy(.. 16 ..)
[    5.543067] random 0110 0000 0000 2f0e72e6 3212b02a: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.543070] random 0110 0000 0000 2f0e72e6 3212b02a: extract_entropy(.. 16 ..)
[    5.543072] random 0110 0000 0000 2f0e72e6 3212b02a: trying to extract 128 bits from input
[    5.543075] random 0110 0000 0000 2f0e72e6 3212b02a: debiting 0 entropy credits from input
[    5.543077] random 0110 0000 0000 2f0e72e6 3212b02a: extract_entropy account returned: 0 
[    5.543080] random 0110 0000 0000 2f0e72e6 3212b02a: urand_change_num 3328 xfer_secondary_pool(16): pool_sig fffffb0f, data_sig 00000000, bytes_mixed 0 2f0e72e6 3212b02a
[    5.543083] random 0110 0000 0000 2f0e72e6 3212b02a: trying to extract 128 bits from nonblocking
[    5.543085] random 0110 0000 0000 2f0e72e6 3212b02a: debiting 128 entropy credits from nonblocking (unlimited)
[    5.543088] random 0110 0000 0000 2f0e72e6 3212b02a: extract_entropy account returned: 16 
[    5.543091] random 0110 0000 0000 2f0e72e6 3212b02a: urand_change_num 3329 extract_buf: pool_sig fffffb0f, data_sig fffffcf9, bytes_mixed 20 2f0e72e6 3212b02a
[    5.543096] random 0110 0000 0000 a6b0a667 49c71dfc: urand_change_num 3330 extract_buf: pool_sig fffffb2c, data_sig fffffe18, bytes_mixed 20 a6b0a667 49c71dfc
[    5.544900] random 0110 0000 0000 a6b0a667 49c71dfc: rand_read_num 733 get_random_bytes(16): sig fffffebd a6b0a667 49c71dfc
[    5.544903] random 0110 0000 0000 a6b0a667 49c71dfc: extract_entropy(.. 16 ..)
[    5.544905] random 0110 0000 0000 a6b0a667 49c71dfc: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.544908] random 0110 0000 0000 a6b0a667 49c71dfc: extract_entropy(.. 16 ..)
[    5.544910] random 0110 0000 0000 a6b0a667 49c71dfc: trying to extract 128 bits from input
[    5.544913] random 0110 0000 0000 a6b0a667 49c71dfc: debiting 0 entropy credits from input
[    5.544915] random 0110 0000 0000 a6b0a667 49c71dfc: extract_entropy account returned: 0 
[    5.544918] random 0110 0000 0000 a6b0a667 49c71dfc: urand_change_num 3331 xfer_secondary_pool(16): pool_sig fffffebd, data_sig 00000000, bytes_mixed 0 a6b0a667 49c71dfc
[    5.544921] random 0110 0000 0000 a6b0a667 49c71dfc: trying to extract 128 bits from nonblocking
[    5.544924] random 0110 0000 0000 a6b0a667 49c71dfc: debiting 128 entropy credits from nonblocking (unlimited)
[    5.544926] random 0110 0000 0000 a6b0a667 49c71dfc: extract_entropy account returned: 16 
[    5.544929] random 0110 0000 0000 a6b0a667 49c71dfc: urand_change_num 3332 extract_buf: pool_sig fffffebd, data_sig fffffded, bytes_mixed 20 a6b0a667 49c71dfc
[    5.544934] random 0110 0000 0000 6e7a0b37 4699fa71: urand_change_num 3333 extract_buf: pool_sig 00000246, data_sig ffffff62, bytes_mixed 20 6e7a0b37 4699fa71
[    5.545562] RANDOM get_random_int call with cycles 10782232488085, jiffies 4294893681 and pid 1
[    5.545814] random 0110 0000 0000 fb8f8403 40d7f055: rand_read_num 734 get_random_bytes(16): sig fffffbef fb8f8403 40d7f055
[    5.545817] random 0110 0000 0000 fb8f8403 40d7f055: extract_entropy(.. 16 ..)
[    5.545820] random 0110 0000 0000 fb8f8403 40d7f055: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.545822] random 0110 0000 0000 fb8f8403 40d7f055: extract_entropy(.. 16 ..)
[    5.545825] random 0110 0000 0000 fb8f8403 40d7f055: trying to extract 128 bits from input
[    5.545827] random 0110 0000 0000 fb8f8403 40d7f055: debiting 0 entropy credits from input
[    5.545829] random 0110 0000 0000 fb8f8403 40d7f055: extract_entropy account returned: 0 
[    5.545833] random 0110 0000 0000 fb8f8403 40d7f055: urand_change_num 3334 xfer_secondary_pool(16): pool_sig fffffbef, data_sig 00000000, bytes_mixed 0 fb8f8403 40d7f055
[    5.545836] random 0110 0000 0000 fb8f8403 40d7f055: trying to extract 128 bits from nonblocking
[    5.545838] random 0110 0000 0000 fb8f8403 40d7f055: debiting 128 entropy credits from nonblocking (unlimited)
[    5.545840] random 0110 0000 0000 fb8f8403 40d7f055: extract_entropy account returned: 16 
[    5.545844] random 0110 0000 0000 fb8f8403 40d7f055: urand_change_num 3335 extract_buf: pool_sig fffffbef, data_sig fffffe85, bytes_mixed 20 fb8f8403 40d7f055
[    5.545849] random 0110 0000 0000 fb8f8403 40d7f055: urand_change_num 3336 extract_buf: pool_sig fffffdd8, data_sig ffffff24, bytes_mixed 20 fb8f8403 40d7f055
[    5.556891] random 0110 0000 0000 05a4f26e b96c7a60: rand_read_num 735 get_random_bytes(16): sig 000002e1 05a4f26e b96c7a60
[    5.556895] random 0110 0000 0000 05a4f26e b96c7a60: extract_entropy(.. 16 ..)
[    5.556898] random 0110 0000 0000 05a4f26e b96c7a60: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.556900] random 0110 0000 0000 05a4f26e b96c7a60: extract_entropy(.. 16 ..)
[    5.556903] random 0110 0000 0000 05a4f26e b96c7a60: trying to extract 128 bits from input
[    5.556906] random 0110 0000 0000 05a4f26e b96c7a60: debiting 0 entropy credits from input
[    5.556908] random 0110 0000 0000 05a4f26e b96c7a60: extract_entropy account returned: 0 
[    5.556911] random 0110 0000 0000 05a4f26e b96c7a60: urand_change_num 3337 xfer_secondary_pool(16): pool_sig 000002e1, data_sig 00000000, bytes_mixed 0 05a4f26e b96c7a60
[    5.556914] random 0110 0000 0000 05a4f26e b96c7a60: trying to extract 128 bits from nonblocking
[    5.556917] random 0110 0000 0000 05a4f26e b96c7a60: debiting 128 entropy credits from nonblocking (unlimited)
[    5.556919] random 0110 0000 0000 05a4f26e b96c7a60: extract_entropy account returned: 16 
[    5.556923] random 0110 0000 0000 05a4f26e b96c7a60: urand_change_num 3338 extract_buf: pool_sig 000002e1, data_sig fffffeb3, bytes_mixed 20 05a4f26e b96c7a60
[    5.556928] random 0110 0000 0000 05a4f26e b96c7a60: urand_change_num 3339 extract_buf: pool_sig 00000329, data_sig fffffeb4, bytes_mixed 20 05a4f26e b96c7a60
[    5.557565] RANDOM get_random_int call with cycles 10782261273991, jiffies 4294893684 and pid 1
[    5.557850] random 0110 0000 0000 abf840bd 5c6cdebc: rand_read_num 736 get_random_bytes(16): sig 0000000d abf840bd 5c6cdebc
[    5.557853] random 0110 0000 0000 abf840bd 5c6cdebc: extract_entropy(.. 16 ..)
[    5.557856] random 0110 0000 0000 abf840bd 5c6cdebc: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.557858] random 0110 0000 0000 abf840bd 5c6cdebc: extract_entropy(.. 16 ..)
[    5.557861] random 0110 0000 0000 abf840bd 5c6cdebc: trying to extract 128 bits from input
[    5.557863] random 0110 0000 0000 abf840bd 5c6cdebc: debiting 0 entropy credits from input
[    5.557865] random 0110 0000 0000 abf840bd 5c6cdebc: extract_entropy account returned: 0 
[    5.557869] random 0110 0000 0000 abf840bd 5c6cdebc: urand_change_num 3340 xfer_secondary_pool(16): pool_sig 0000000d, data_sig 00000000, bytes_mixed 0 abf840bd 5c6cdebc
[    5.557871] random 0110 0000 0000 abf840bd 5c6cdebc: trying to extract 128 bits from nonblocking
[    5.557874] random 0110 0000 0000 abf840bd 5c6cdebc: debiting 128 entropy credits from nonblocking (unlimited)
[    5.557876] random 0110 0000 0000 abf840bd 5c6cdebc: extract_entropy account returned: 16 
[    5.557880] random 0110 0000 0000 abf840bd 5c6cdebc: urand_change_num 3341 extract_buf: pool_sig 0000000d, data_sig fffffdfb, bytes_mixed 20 abf840bd 5c6cdebc
[    5.557885] random 0110 0000 0000 35ab56e8 6a2b0535: urand_change_num 3342 extract_buf: pool_sig 0000014d, data_sig 0000014b, bytes_mixed 20 35ab56e8 6a2b0535
[    5.558268] random 0110 0000 0000 35ab56e8 6a2b0535: rand_read_num 737 get_random_bytes(16): sig fffffcc9 35ab56e8 6a2b0535
[    5.558271] random 0110 0000 0000 35ab56e8 6a2b0535: extract_entropy(.. 16 ..)
[    5.558274] random 0110 0000 0000 35ab56e8 6a2b0535: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.558276] random 0110 0000 0000 35ab56e8 6a2b0535: extract_entropy(.. 16 ..)
[    5.558278] random 0110 0000 0000 35ab56e8 6a2b0535: trying to extract 128 bits from input
[    5.558281] random 0110 0000 0000 35ab56e8 6a2b0535: debiting 0 entropy credits from input
[    5.558283] random 0110 0000 0000 35ab56e8 6a2b0535: extract_entropy account returned: 0 
[    5.558286] random 0110 0000 0000 35ab56e8 6a2b0535: urand_change_num 3343 xfer_secondary_pool(16): pool_sig fffffcc9, data_sig 00000000, bytes_mixed 0 35ab56e8 6a2b0535
[    5.558289] random 0110 0000 0000 35ab56e8 6a2b0535: trying to extract 128 bits from nonblocking
[    5.558292] random 0110 0000 0000 35ab56e8 6a2b0535: debiting 128 entropy credits from nonblocking (unlimited)
[    5.558294] random 0110 0000 0000 35ab56e8 6a2b0535: extract_entropy account returned: 16 
[    5.558297] random 0110 0000 0000 35ab56e8 6a2b0535: urand_change_num 3344 extract_buf: pool_sig fffffcc9, data_sig fffffee7, bytes_mixed 20 35ab56e8 6a2b0535
[    5.558302] random 0110 0000 0000 07609067 27baafb6: urand_change_num 3345 extract_buf: pool_sig fffffe5f, data_sig fffffd85, bytes_mixed 20 07609067 27baafb6
[    5.558898] RANDOM get_random_int call with cycles 10782264471547, jiffies 4294893684 and pid 1
[    5.559204] random 0110 0000 0000 58e463ba 091bb23d: rand_read_num 738 get_random_bytes(16): sig 0000044e 58e463ba 091bb23d
[    5.559207] random 0110 0000 0000 58e463ba 091bb23d: extract_entropy(.. 16 ..)
[    5.559210] random 0110 0000 0000 58e463ba 091bb23d: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.559213] random 0110 0000 0000 58e463ba 091bb23d: extract_entropy(.. 16 ..)
[    5.559215] random 0110 0000 0000 58e463ba 091bb23d: trying to extract 128 bits from input
[    5.559217] random 0110 0000 0000 58e463ba 091bb23d: debiting 0 entropy credits from input
[    5.559220] random 0110 0000 0000 58e463ba 091bb23d: extract_entropy account returned: 0 
[    5.559223] random 0110 0000 0000 58e463ba 091bb23d: urand_change_num 3346 xfer_secondary_pool(16): pool_sig 0000044e, data_sig 00000000, bytes_mixed 0 58e463ba 091bb23d
[    5.559226] random 0110 0000 0000 58e463ba 091bb23d: trying to extract 128 bits from nonblocking
[    5.559228] random 0110 0000 0000 58e463ba 091bb23d: debiting 128 entropy credits from nonblocking (unlimited)
[    5.559231] random 0110 0000 0000 58e463ba 091bb23d: extract_entropy account returned: 16 
[    5.559234] random 0110 0000 0000 58e463ba 091bb23d: urand_change_num 3347 extract_buf: pool_sig 0000044e, data_sig 000002bc, bytes_mixed 20 58e463ba 091bb23d
[    5.559239] random 0110 0000 0000 58e463ba 091bb23d: urand_change_num 3348 extract_buf: pool_sig fffffffe, data_sig 000000ab, bytes_mixed 20 58e463ba 091bb23d
[    5.560966] random 0110 0000 0000 1763e02a 7e86ed90: rand_read_num 739 get_random_bytes(16): sig fffffe1b 1763e02a 7e86ed90
[    5.560969] random 0110 0000 0000 1763e02a 7e86ed90: extract_entropy(.. 16 ..)
[    5.560972] random 0110 0000 0000 1763e02a 7e86ed90: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.560974] random 0110 0000 0000 1763e02a 7e86ed90: extract_entropy(.. 16 ..)
[    5.560977] random 0110 0000 0000 1763e02a 7e86ed90: trying to extract 128 bits from input
[    5.560979] random 0110 0000 0000 1763e02a 7e86ed90: debiting 0 entropy credits from input
[    5.560981] random 0110 0000 0000 1763e02a 7e86ed90: extract_entropy account returned: 0 
[    5.560984] random 0110 0000 0000 1763e02a 7e86ed90: urand_change_num 3349 xfer_secondary_pool(16): pool_sig fffffe1b, data_sig 00000000, bytes_mixed 0 1763e02a 7e86ed90
[    5.560987] random 0110 0000 0000 1763e02a 7e86ed90: trying to extract 128 bits from nonblocking
[    5.560990] random 0110 0000 0000 1763e02a 7e86ed90: debiting 128 entropy credits from nonblocking (unlimited)
[    5.560992] random 0110 0000 0000 1763e02a 7e86ed90: extract_entropy account returned: 16 
[    5.560996] random 0110 0000 0000 1763e02a 7e86ed90: urand_change_num 3350 extract_buf: pool_sig fffffe1b, data_sig fffffe22, bytes_mixed 20 1763e02a 7e86ed90
[    5.561001] random 0110 0000 0000 1763e02a 7e86ed90: urand_change_num 3351 extract_buf: pool_sig fffffd11, data_sig 00000125, bytes_mixed 20 1763e02a 7e86ed90
[    5.561736] RANDOM get_random_int call with cycles 10782271277069, jiffies 4294893685 and pid 1
[    5.562007] random 0110 0000 0000 35fefe78 23547ddc: rand_read_num 740 get_random_bytes(16): sig 00000167 35fefe78 23547ddc
[    5.562010] random 0110 0000 0000 35fefe78 23547ddc: extract_entropy(.. 16 ..)
[    5.562013] random 0110 0000 0000 35fefe78 23547ddc: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.562015] random 0110 0000 0000 35fefe78 23547ddc: extract_entropy(.. 16 ..)
